,,,,,,MONTH.,,,,,,,
January.,February.,March.,April.,May.,June.,July.,August.,September.,October.,November,December.,Unknown.,
25,29,29,28,21,20,22,38,37,27,32,21,,315
139,173,174,142,149,132,166,171,132,131,148,163,,316
48,48,53,43,46,33,44,47,48,52,61,42,1,317
59,67,65,49,57,35,60,81,55,51,58,38,1,318
86,76,75,59,58,54,63,49,58,71,58,70,,319
7,8,16,17,12,12,9,14,15,10,17,4,,320
202,181,182,184,185,144,181,197,198,169,153,144,1,321
22,10,21,16,20,11,24,26,16,11,10,19,1,322
16,20,22,25,18,16,11,15,15,18,17,16,,323
135,124,125,113,104,73,160,120,115,99,131,114,,324
161,162,172,159,127,126,154,124,105,91,135,125,,325
27,23,28,9,23,34,21,21,34,23,30,29,,326
76,80,82,85,97,85,93,114,117,93,III,117,,327
11,13,8,12,15,5,14,12,5,7,4,11,,328
10,21,18,17,18,18,13,17,16,21,14,27,,329
11,6,10,5,14,7,7,6,9,7,8,9,,330
14,18,17,12,13,8,9,12,10,9,11,10,,331
12,7,12,11,9,8,13,9,9,8,8,12,,332
36,30,37,25,29,29,27,36,26,21,28,37,2,883
10,8,16,11,8,7,9,16,18,10,8,8,,334
567,551,580,549,423,474,582,535,412,481,503,544,,335
10,14,14,10,9,13,7,8,11,13,9,12,,336
83,68,104,59,75,69,137,87,74,61,68,72,,337
36,38,32,31,32,25,20,46,31,38,26,26,,338
13,17,21,14,12,6,9,7,12,10,6,9,,339
24,18,29,32,19,22,26,24,20,15,32,22,,340
13,17,15,12,12,8,15,9,8,12,18,13,,341
12,22,29,18,14,12,19,21,23,11,17,14,,342
21,22,8,12,11,11,8,28,13,19,10,11,,343
60,57,54,52,46,42,53,48,34,53,58,72,,344
53,46,42,40,28,42,46,41,43,41,42,38,,345
44,40,30,40,35,34,47,59,47,30,38,36,24,346
124,121,102,104,107,113,158,124,112,110,103,110,1,347
38,34,41,37,36,50,50,52,57,57,33,50,,348
16,15,26,19,22,13,25,22,15,14,12,17,,349
36,26,30,17,17,19,18,23,21,12,21,18,,350
21,25,14,16,18,9,10,18,20,19,29,20,,351
37,38,43,43,32,38,53,56,33,40,36,40,,352
192,197,197,197,189,168,217,226,177,179,163,164,,353
84,97,109,83,76,77,120,96,64,84,75,56,,354
77,96,93,86,83,81,106,82,75,78,74,63,,355
59,74,72,64,67,54,60,72,42,55,50,53,1,356
95,75,105,89,78,76,121,89,85,81,90,92,,357
74,70,77,88,67,62,66,68,63,57,71,65,1,358
33,43,38,33,25,25,35,21,20,23,35,26,,359
72,72,71,62,73,53,73,67,58,62,64,68,,360
35,46,50,41,39,41,41,49,47,38,32,47,3,361
21,21,23,23,17,20,20,23,20,19,24,21,,362
43,55,55,51,51,47,43,58,49,46,51,56,,363
28,26,18,20,17,15,16,18,22,15,14,17,,364
20,30,32,20,33,20,22,20,32,25,18,18,,365
18,1611,1814,97,1413,1019,1810,117,2011,168,194,1811,,368367
1623,32,15,13,15,13,16,34,25,16,13,15,,368
27,37,27,28,16,15,28,26,19,24,31,24,,369
10,10,12,8,10,6,9,,6,2,2,5,,370
24,31,32,11,15,14,10,29,18,18,22,14,,371
28,12,27,26,11,13,15,19,27,16,17,17,,372
19,33,32,14,22,25,27,23,22,20,11,17,,373
40,38,32,35,30,16,42,44,31,26,31,32,,374
40,53,41,35,24,32,40,41,26,23,28,42,,375
25,10,12,15,11,15,14,19.,15,11,7,8,,376
28,27,25,19,18,15,26,25,32,22,24,22,,377
35,26,35,31,21,21,18,17,34,22,30,25,1,378
24,34,28,19,25,25,19,33,31,21,23,12,,379
24,32,40,25,14,22,15,30,19,27,32,21,,380
26,33,26,27,16,24,27,29,23,31,19,22,,381
29,34,29,14,20,12,32,23,18,22,17,17,,382
28,39,36,26,34,28,34,37,34,32,24,31,,383
9,14,19,10,12,6,13,12,16,18,13,24,,384
9,12,10,14,4,5,10,13,9,9,5,7,,385
31,26,29,19,13,15,17,19,20,12,17,20,,386
13,26,20,13,7,18,18,15,13,18,14,19,1,887
19,25,23,26,29,10,14,25,18,7,18,15,,388